match_id,home,away,scenario_id,scenario_name,raw_base_weight,raw_tactical_delta,raw_player_delta,raw_source_delta,raw_probability_context_delta,raw_total_score,normalized_weight,base_weight,tactical_delta,player_delta,source_delta,probability_context_delta,weight,final_weight,home_lambda_delta,away_lambda_delta,variance_delta,over25_delta,btts_delta,htft_bias,htft_bias_semantic,score_family,triggered_by,evidence_summary,data_confidence,generated_at
WC2026-C29,Brazil,Haiti,S01_favorite_early_break_open,强队早球后比赛被打开,0.1,0.3691,0,0,0.0415,0.5105,0.235041,0.1,0.3691,0,0,0.0415,0.235041,0.235041,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft,2-0;3-0;3-1;4-1,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-C29,Brazil,Haiti,S02_low_block_survival,弱队低位守住上半场，比分压低,0.1,-0.0224,0,0.0533,0,0.1309,0.060279,0.1,-0.0224,0,0.0533,0,0.060279,0.060279,0,0,0,0,0,平/胜;平/平;平/负,underdog_holds_ht|favorite_wins_ft;draw_ht|draw_ft;underdog_holds_ht|draw_ft,0-0;1-0;1-1;2-0,matchup+fused_evidence,WC2026-C29|Haiti|low_block_success|unknown,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-C29,Brazil,Haiti,S03_wide_overload_crossfire,边路错位被持续打穿,0.1,0.0901,0,0,0,0.1901,0.087525,0.1,0.0901,0,0,0,0.087525,0.087525,0,0,0,0,0,胜/胜;平/胜;负/负;平/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,2-1;3-1;3-2,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-C29,Brazil,Haiti,S04_press_trap_turnover_goal,高压陷阱制造前场失误,0.1,0.1515,0,0,0,0.2515,0.115787,0.1,0.1515,0,0,0,0.115787,0.115787,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-C29,Brazil,Haiti,S05_high_line_vs_runner,高位防线被速度型前锋反复冲身后,0.1,0.1867,0,0,0,0.2867,0.131979,0.1,0.1867,0,0,0,0.131979,0.131979,0,0,0,0,0,负/负;平/负;胜/负;胜/胜,underdog_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;favorite_leads_ht|underdog_wins_ft,1-2;2-2;2-3;1-3,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-C29,Brazil,Haiti,S06_set_piece_breakthrough,定位球成为破局点,0.1,0.1001,0,0.0219,0,0.222,0.102198,0.1,0.1001,0,0.0219,0,0.102198,0.102198,0,0,0,0,0,胜/胜;平/胜;平/负,draw_ht|favorite_wins_ft;favorite_leads_ht|favorite_wins_ft;draw_ht|draw_ft,1-0;2-0;2-1;1-1,matchup+fused_evidence,WC2026-C29|Brazil|set_piece_edge|unknown,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-C29,Brazil,Haiti,S07_late_chase_open_game,末段追分压上导致开放式尾段,0.1,0.1253,0,0,0.0415,0.2668,0.122814,0.1,0.1253,0,0,0.0415,0.122814,0.122814,0,0,0,0,0,平/胜;平/负;负/平;胜/平;负/胜;胜/负,draw_ht|favorite_wins_ft;underdog_holds_ht|underdog_wins_ft;favorite_leads_ht|draw_ft;draw_ht|underdog_wins_ft,2-1;1-2;2-2;3-2;2-3,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-C29,Brazil,Haiti,S08_strict_ref_card_penalty_chaos,严哨/点球/红牌使比赛进入混沌,0.1,0,0,0,0,0.1,0.046038,0.1,0,0,0,0,0.046038,0.046038,0,0,0,0,0,胜/负;负/胜;平/胜;平/负,favorite_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;underdog_leads_ht|favorite_wins_ft;draw_ht|draw_ft,2-1;1-2;3-1;1-3;3-2,no_ref_card_var_evidence_baseline_only,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-C29,Brazil,Haiti,S09_fatigue_travel_second_half_drop,旅行/体能导致下半场防守断电,0.1,0,0,0,0,0.1,0.046038,0.1,0,0,0,0,0.046038,0.046038,0,0,0,0,0,平/胜;胜/胜;平/负;负/负,draw_ht|favorite_wins_ft;favorite_leads_ht|draw_ft;underdog_holds_ht|underdog_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-C29,Brazil,Haiti,S10_tactical_stalemate_mutual_constraint,双方战术互相牵制，进入僵持,0.1,0,0,0.0136,0,0.1136,0.052299,0.1,0,0,0.0136,0,0.052299,0.052299,0,0,0,0,0,平/平;平/胜;平/负,draw_ht|draw_ft;underdog_holds_ht|draw_ft;draw_ht|favorite_wins_ft,0-0;1-0;0-1;1-1,matchup+fused_evidence,WC2026-C29|Brazil|general_observation|unknown,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-C30,Scotland,Morocco,S01_favorite_early_break_open,强队早球后比赛被打开,0.1,0.0751,0,0,0.01,0.1851,0.127591,0.1,0.0751,0,0,0.01,0.127591,0.127591,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft,2-0;3-0;3-1;4-1,auto_matchup_features,,0.7,2026-06-19T10:38:25.607761+00:00
WC2026-C30,Scotland,Morocco,S02_low_block_survival,弱队低位守住上半场，比分压低,0.1,0.008,0,0,0,0.108,0.074442,0.1,0.008,0,0,0,0.074442,0.074442,0,0,0,0,0,平/胜;平/平;平/负,underdog_holds_ht|favorite_wins_ft;draw_ht|draw_ft;underdog_holds_ht|draw_ft,0-0;1-0;1-1;2-0,auto_matchup_features,,0.7,2026-06-19T10:38:25.607761+00:00
WC2026-C30,Scotland,Morocco,S03_wide_overload_crossfire,边路错位被持续打穿,0.1,0.0133,0,0,0,0.1133,0.078132,0.1,0.0133,0,0,0,0.078132,0.078132,0,0,0,0,0,胜/胜;平/胜;负/负;平/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,2-1;3-1;3-2,auto_matchup_features,,0.7,2026-06-19T10:38:25.607761+00:00
WC2026-C30,Scotland,Morocco,S04_press_trap_turnover_goal,高压陷阱制造前场失误,0.1,0.0569,0,0,0,0.1569,0.108153,0.1,0.0569,0,0,0,0.108153,0.108153,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.7,2026-06-19T10:38:25.607761+00:00
WC2026-C30,Scotland,Morocco,S05_high_line_vs_runner,高位防线被速度型前锋反复冲身后,0.1,0.0574,0,0,0,0.1574,0.108468,0.1,0.0574,0,0,0,0.108468,0.108468,0,0,0,0,0,负/负;平/负;胜/负;胜/胜,underdog_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;favorite_leads_ht|underdog_wins_ft,1-2;2-2;2-3;1-3,auto_matchup_features,,0.7,2026-06-19T10:38:25.607761+00:00
WC2026-C30,Scotland,Morocco,S06_set_piece_breakthrough,定位球成为破局点,0.1,0.0148,0,0,0,0.1148,0.079154,0.1,0.0148,0,0,0,0.079154,0.079154,0,0,0,0,0,胜/胜;平/胜;平/负,draw_ht|favorite_wins_ft;favorite_leads_ht|favorite_wins_ft;draw_ht|draw_ft,1-0;2-0;2-1;1-1,auto_matchup_features,,0.7,2026-06-19T10:38:25.607761+00:00
WC2026-C30,Scotland,Morocco,S07_late_chase_open_game,末段追分压上导致开放式尾段,0.1,0.0669,0,0,0.01,0.1769,0.121941,0.1,0.0669,0,0,0.01,0.121941,0.121941,0,0,0,0,0,平/胜;平/负;负/平;胜/平;负/胜;胜/负,draw_ht|favorite_wins_ft;underdog_holds_ht|underdog_wins_ft;favorite_leads_ht|draw_ft;draw_ht|underdog_wins_ft,2-1;1-2;2-2;3-2;2-3,auto_matchup_features,,0.7,2026-06-19T10:38:25.607761+00:00
WC2026-C30,Scotland,Morocco,S08_strict_ref_card_penalty_chaos,严哨/点球/红牌使比赛进入混沌,0.1,0,0,0,0,0.1,0.06893,0.1,0,0,0,0,0.06893,0.06893,0,0,0,0,0,胜/负;负/胜;平/胜;平/负,favorite_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;underdog_leads_ht|favorite_wins_ft;draw_ht|draw_ft,2-1;1-2;3-1;1-3;3-2,no_ref_card_var_evidence_baseline_only,,0.7,2026-06-19T10:38:25.607761+00:00
WC2026-C30,Scotland,Morocco,S09_fatigue_travel_second_half_drop,旅行/体能导致下半场防守断电,0.1,0,0,0,0,0.1,0.06893,0.1,0,0,0,0,0.06893,0.06893,0,0,0,0,0,平/胜;胜/胜;平/负;负/负,draw_ht|favorite_wins_ft;favorite_leads_ht|draw_ft;underdog_holds_ht|underdog_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.7,2026-06-19T10:38:25.607761+00:00
WC2026-C30,Scotland,Morocco,S10_tactical_stalemate_mutual_constraint,双方战术互相牵制，进入僵持,0.1,0.1383,0,0,0,0.2383,0.16426,0.1,0.1383,0,0,0,0.16426,0.16426,0,0,0,0,0,平/平;平/胜;平/负,draw_ht|draw_ft;underdog_holds_ht|draw_ft;draw_ht|favorite_wins_ft,0-0;1-0;0-1;1-1,auto_matchup_features,,0.7,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S01_favorite_early_break_open,强队早球后比赛被打开,0.1,0.63,0,0,0.0659,0.7959,0.273803,0.1,0.63,0,0,0.0659,0.273803,0.273803,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft,2-0;3-0;3-1;4-1,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S02_low_block_survival,弱队低位守住上半场，比分压低,0.1,-0.0936,0,0,0,0.0064,0.002211,0.1,-0.0936,0,0,0,0.002211,0.002211,0,0,0,0,0,平/胜;平/平;平/负,underdog_holds_ht|favorite_wins_ft;draw_ht|draw_ft;underdog_holds_ht|draw_ft,0-0;1-0;1-1;2-0,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S03_wide_overload_crossfire,边路错位被持续打穿,0.1,0.1409,0,0,0,0.2409,0.082865,0.1,0.1409,0,0,0,0.082865,0.082865,0,0,0,0,0,胜/胜;平/胜;负/负;平/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,2-1;3-1;3-2,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S04_press_trap_turnover_goal,高压陷阱制造前场失误,0.1,0.4374,0,0,0,0.5374,0.184871,0.1,0.4374,0,0,0,0.184871,0.184871,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S05_high_line_vs_runner,高位防线被速度型前锋反复冲身后,0.1,0.2008,0,0,0,0.3008,0.103494,0.1,0.2008,0,0,0,0.103494,0.103494,0,0,0,0,0,负/负;平/负;胜/负;胜/胜,underdog_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;favorite_leads_ht|underdog_wins_ft,1-2;2-2;2-3;1-3,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S06_set_piece_breakthrough,定位球成为破局点,0.1,0.1565,0,0,0,0.2565,0.088249,0.1,0.1565,0,0,0,0.088249,0.088249,0,0,0,0,0,胜/胜;平/胜;平/负,draw_ht|favorite_wins_ft;favorite_leads_ht|favorite_wins_ft;draw_ht|draw_ft,1-0;2-0;2-1;1-1,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S07_late_chase_open_game,末段追分压上导致开放式尾段,0.1,0.2085,0,0,0.0659,0.3745,0.128824,0.1,0.2085,0,0,0.0659,0.128824,0.128824,0,0,0,0,0,平/胜;平/负;负/平;胜/平;负/胜;胜/负,draw_ht|favorite_wins_ft;underdog_holds_ht|underdog_wins_ft;favorite_leads_ht|draw_ft;draw_ht|underdog_wins_ft,2-1;1-2;2-2;3-2;2-3,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S08_strict_ref_card_penalty_chaos,严哨/点球/红牌使比赛进入混沌,0.1,0.0944,0,0,0,0.1944,0.066879,0.1,0.0944,0,0,0,0.066879,0.066879,0,0,0,0,0,胜/负;负/胜;平/胜;平/负,favorite_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;underdog_leads_ht|favorite_wins_ft;draw_ht|draw_ft,2-1;1-2;3-1;1-3;3-2,referee_style:Ivan Barton,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S09_fatigue_travel_second_half_drop,旅行/体能导致下半场防守断电,0.1,0,0,0,0,0.1,0.034403,0.1,0,0,0,0,0.034403,0.034403,0,0,0,0,0,平/胜;胜/胜;平/负;负/负,draw_ht|favorite_wins_ft;favorite_leads_ht|draw_ft;underdog_holds_ht|underdog_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S10_tactical_stalemate_mutual_constraint,双方战术互相牵制，进入僵持,0.1,0,0,0,0,0.1,0.034403,0.1,0,0,0,0,0.034403,0.034403,0,0,0,0,0,平/平;平/胜;平/负,draw_ht|draw_ft;underdog_holds_ht|draw_ft;draw_ht|favorite_wins_ft,0-0;1-0;0-1;1-1,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S01_favorite_early_break_open,强队早球后比赛被打开,0.1,1.1682,0,0,0.1379,1.4061,0.288358,0.1,1.1682,0,0,0.1379,0.288358,0.288358,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft,2-0;3-0;3-1;4-1,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S02_low_block_survival,弱队低位守住上半场，比分压低,0.1,-0.1636,0,0,0,0,0,0.1,-0.1636,0,0,0,0,0,0,0,0,0,0,平/胜;平/平;平/负,underdog_holds_ht|favorite_wins_ft;draw_ht|draw_ft;underdog_holds_ht|draw_ft,0-0;1-0;1-1;2-0,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S03_wide_overload_crossfire,边路错位被持续打穿,0.1,0.3184,0,0,0,0.4184,0.085807,0.1,0.3184,0,0,0,0.085807,0.085807,0,0,0,0,0,胜/胜;平/胜;负/负;平/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,2-1;3-1;3-2,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S04_press_trap_turnover_goal,高压陷阱制造前场失误,0.1,0.6902,0,0,0,0.7902,0.162056,0.1,0.6902,0,0,0,0.162056,0.162056,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S05_high_line_vs_runner,高位防线被速度型前锋反复冲身后,0.1,0.5896,0,0,0,0.6896,0.141426,0.1,0.5896,0,0,0,0.141426,0.141426,0,0,0,0,0,负/负;平/负;胜/负;胜/胜,underdog_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;favorite_leads_ht|underdog_wins_ft,1-2;2-2;2-3;1-3,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S06_set_piece_breakthrough,定位球成为破局点,0.1,0.3538,0,0,0,0.4538,0.093062,0.1,0.3538,0,0,0,0.093062,0.093062,0,0,0,0,0,胜/胜;平/胜;平/负,draw_ht|favorite_wins_ft;favorite_leads_ht|favorite_wins_ft;draw_ht|draw_ft,1-0;2-0;2-1;1-1,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S07_late_chase_open_game,末段追分压上导致开放式尾段,0.1,0.3833,0,0,0.1379,0.6212,0.127406,0.1,0.3833,0,0,0.1379,0.127406,0.127406,0,0,0,0,0,平/胜;平/负;负/平;胜/平;负/胜;胜/负,draw_ht|favorite_wins_ft;underdog_holds_ht|underdog_wins_ft;favorite_leads_ht|draw_ft;draw_ht|underdog_wins_ft,2-1;1-2;2-2;3-2;2-3,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S08_strict_ref_card_penalty_chaos,严哨/点球/红牌使比赛进入混沌,0.1,0.1968,0,0,0,0.2968,0.060869,0.1,0.1968,0,0,0,0.060869,0.060869,0,0,0,0,0,胜/负;负/胜;平/胜;平/负,favorite_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;underdog_leads_ht|favorite_wins_ft;draw_ht|draw_ft,2-1;1-2;3-1;1-3;3-2,referee_style:Felix Zwayer,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S09_fatigue_travel_second_half_drop,旅行/体能导致下半场防守断电,0.1,0,0,0,0,0.1,0.020508,0.1,0,0,0,0,0.020508,0.020508,0,0,0,0,0,平/胜;胜/胜;平/负;负/负,draw_ht|favorite_wins_ft;favorite_leads_ht|draw_ft;underdog_holds_ht|underdog_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S10_tactical_stalemate_mutual_constraint,双方战术互相牵制，进入僵持,0.1,0,0,0,0,0.1,0.020508,0.1,0,0,0,0,0.020508,0.020508,0,0,0,0,0,平/平;平/胜;平/负,draw_ht|draw_ft;underdog_holds_ht|draw_ft;draw_ht|favorite_wins_ft,0-0;1-0;0-1;1-1,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
