team,period,matches,penalties_for90,penalties_against90,yellow_cards90,red_cards90,fouls_for90,fouls_against90,box_touches90,dribbles90,pressing_foul_risk,handball_risk,simulation_risk,ref_benefit_index,ref_harm_index,data_confidence,penalties_for90_z,penalties_against90_z,yellow_cards90_z,red_cards90_z,fouls_for90_z,fouls_against90_z,box_touches90_z,dribbles90_z,pressing_foul_risk_z,handball_risk_z,simulation_risk_z,updated_at
Algeria,wc2026_current,1,0.00,0.00,0.00,0.00,10.2,10.0,31.2,16.5,0.55,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,0.00,0.00,-0.08,0.23,0.00,-0.00,0.00,2026-06-19
Argentina,wc2026_current,1,0.00,0.00,0.00,0.00,10.5,10.0,32.5,17.0,0.62,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,0.47,0.00,0.41,0.76,0.47,-0.00,0.00,2026-06-19
Australia,wc2026_current,1,0.00,0.00,0.00,0.00,9.8,10.0,28.9,15.5,0.45,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-0.67,0.00,-0.97,-0.88,-0.67,-0.00,0.00,2026-06-19
Austria,wc2026_current,1,0.00,0.00,0.00,0.00,11.7,10.0,34.5,16.4,0.92,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,2.48,0.00,1.19,0.14,2.48,-0.00,0.00,2026-06-19
Belgium,wc2026_current,1,0.00,0.00,2.00,0.00,10.1,10.0,34.1,17.3,0.52,0.12,0.10,0.00,0.00,0.55,0.00,0.00,1.29,-0.20,-0.20,0.00,1.04,1.10,-0.20,-0.00,0.00,2026-06-19
Bosnia and Herzegovina,wc2026_current,1,0.00,0.00,3.00,0.00,9.7,10.0,32.1,16.2,0.42,0.12,0.10,0.00,0.00,0.55,0.00,0.00,2.32,-0.20,-0.87,0.00,0.27,-0.05,-0.87,-0.00,0.00,2026-06-19
Brazil,wc2026_current,1,0.00,0.00,2.00,0.00,10.2,10.0,35.0,17.8,0.55,0.12,0.10,0.00,0.00,0.55,0.00,0.00,1.29,-0.20,0.00,0.00,1.39,1.56,0.00,-0.00,0.00,2026-06-19
Canada,wc2026_current,1,0.00,0.00,2.00,0.00,11.3,10.0,30.8,16.3,0.82,0.12,0.10,0.00,0.00,0.55,0.00,0.00,1.29,-0.20,1.81,0.00,-0.25,-0.00,1.81,-0.00,0.00,2026-06-19
Cape Verde,wc2026_current,1,0.00,0.00,1.00,0.00,9.3,10.0,29.3,14.6,0.32,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,-1.54,0.00,-0.81,-1.73,-1.54,-0.00,0.00,2026-06-19
Colombia,wc2026_current,1,0.00,0.00,1.00,0.00,10.3,10.0,35.1,17.7,0.58,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,0.20,0.00,1.42,1.52,0.20,-0.00,0.00,2026-06-19
Croatia,wc2026_current,1,0.00,0.00,0.00,0.00,9.9,10.0,31.8,16.2,0.48,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-0.47,0.00,0.14,-0.07,-0.47,-0.00,0.00,2026-06-19
Curacao,wc2026_current,1,0.00,0.00,0.00,0.00,9.5,10.0,28.9,15.7,0.38,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-1.14,0.00,-0.97,-0.57,-1.14,-0.00,0.00,2026-06-19
Czechia,wc2026_current,1,0.00,0.00,0.00,0.00,9.9,10.0,36.2,17.6,0.48,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-0.47,0.00,1.86,1.34,-0.47,-0.00,0.00,2026-06-19
DR Congo,wc2026_current,1,0.00,0.00,1.00,0.00,9.8,10.0,31.2,15.8,0.45,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,-0.67,0.00,-0.07,-0.50,-0.67,-0.00,0.00,2026-06-19
Ecuador,wc2026_current,1,0.00,0.00,0.00,0.00,10.0,10.0,31.8,16.3,0.50,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-0.33,0.00,0.14,0.01,-0.33,-0.00,0.00,2026-06-19
Egypt,wc2026_current,1,0.00,0.00,2.00,0.00,9.7,10.0,34.2,16.8,0.42,0.12,0.10,0.00,0.00,0.55,0.00,0.00,1.29,-0.20,-0.87,0.00,1.06,0.52,-0.87,-0.00,0.00,2026-06-19
England,wc2026_current,1,0.00,0.00,0.00,0.00,11.1,10.0,35.3,17.5,0.78,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,1.54,0.00,1.51,1.33,1.54,-0.00,0.00,2026-06-19
France,wc2026_current,1,0.00,0.00,0.00,0.00,10.2,10.0,38.4,18.5,0.55,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,0.00,0.00,2.71,2.37,0.00,-0.00,0.00,2026-06-19
Germany,wc2026_current,1,0.00,0.00,0.00,0.00,11.3,10.0,36.8,17.9,0.82,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,1.81,0.00,2.11,1.69,1.81,-0.00,0.00,2026-06-19
Ghana,wc2026_current,1,0.00,0.00,0.00,0.00,9.8,10.0,31.4,16.4,0.45,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-0.67,0.00,-0.01,0.14,-0.67,-0.00,0.00,2026-06-19
Haiti,wc2026_current,1,0.00,0.00,1.00,0.00,9.1,10.0,28.9,15.5,0.28,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,-1.81,0.00,-0.97,-0.88,-1.81,-0.00,0.00,2026-06-19
Iran,wc2026_current,1,0.00,0.00,1.00,0.00,9.8,10.0,29.2,15.7,0.45,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,-0.67,0.00,-0.87,-0.57,-0.67,-0.00,0.00,2026-06-19
Iraq,wc2026_current,1,0.00,0.00,0.00,0.00,9.9,10.0,28.9,15.2,0.48,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-0.47,0.00,-0.97,-1.13,-0.47,-0.00,0.00,2026-06-19
Ivory Coast,wc2026_current,1,0.00,0.00,0.00,0.00,10.5,10.0,30.6,16.2,0.62,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,0.47,0.00,-0.31,-0.05,0.47,-0.00,0.00,2026-06-19
Japan,wc2026_current,1,0.00,0.00,0.00,0.00,10.7,10.0,32.3,16.7,0.68,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,0.87,0.00,0.33,0.43,0.87,-0.00,0.00,2026-06-19
Jordan,wc2026_current,1,0.00,0.00,0.00,0.00,9.4,10.0,28.9,15.5,0.35,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-1.34,0.00,-0.97,-0.83,-1.34,-0.00,0.00,2026-06-19
Mexico,wc2026_current,1,0.00,0.00,1.00,1.00,10.0,10.0,31.7,16.9,0.50,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,2.96,-0.33,0.00,0.11,0.62,-0.33,-0.00,0.00,2026-06-19
Morocco,wc2026_current,1,0.00,0.00,0.00,0.00,10.9,10.0,31.1,16.1,0.72,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,1.14,0.00,-0.14,-0.14,1.14,-0.00,0.00,2026-06-19
Netherlands,wc2026_current,1,0.00,0.00,3.00,0.00,10.3,10.0,32.0,16.9,0.58,0.12,0.10,0.00,0.00,0.55,0.00,0.00,2.32,-0.20,0.20,0.00,0.22,0.64,0.20,-0.00,0.00,2026-06-19
New Zealand,wc2026_current,1,0.00,0.00,0.00,0.00,9.3,10.0,28.9,14.7,0.32,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-1.54,0.00,-0.98,-1.69,-1.54,-0.00,0.00,2026-06-19
Norway,wc2026_current,1,0.00,0.00,0.00,0.00,10.6,10.0,31.5,16.8,0.65,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,0.67,0.00,0.04,0.57,0.67,-0.00,0.00,2026-06-19
Panama,wc2026_current,1,0.00,0.00,0.00,0.00,9.6,10.0,29.1,14.8,0.40,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-1.00,0.00,-0.89,-1.54,-1.00,-0.00,0.00,2026-06-19
Paraguay,wc2026_current,1,0.00,0.00,0.00,0.00,9.7,10.0,30.0,15.6,0.42,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,-0.87,0.00,-0.57,-0.69,-0.87,-0.00,0.00,2026-06-19
Portugal,wc2026_current,1,0.00,0.00,3.00,0.00,10.5,10.0,33.3,17.3,0.62,0.12,0.10,0.00,0.00,0.55,0.00,0.00,2.32,-0.20,0.47,0.00,0.75,1.04,0.47,-0.00,0.00,2026-06-19
Qatar,wc2026_current,1,0.00,0.00,2.00,0.00,10.3,10.0,26.9,15.1,0.58,0.12,0.10,0.00,0.00,0.55,0.00,0.00,1.29,-0.20,0.20,0.00,-1.76,-1.24,0.20,-0.00,0.00,2026-06-19
Saudi Arabia,wc2026_current,1,0.00,0.00,1.00,0.00,9.9,10.0,30.4,16.2,0.48,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,-0.47,0.00,-0.39,-0.10,-0.47,-0.00,0.00,2026-06-19
Scotland,wc2026_current,1,0.00,0.00,3.00,0.00,10.2,10.0,28.8,15.4,0.55,0.12,0.10,0.00,0.00,0.55,0.00,0.00,2.32,-0.20,0.00,0.00,-1.01,-0.91,0.00,-0.00,0.00,2026-06-19
Senegal,wc2026_current,1,0.00,0.00,0.00,0.00,10.3,10.0,32.8,16.9,0.58,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,0.20,0.00,0.52,0.66,0.20,-0.00,0.00,2026-06-19
South Africa,wc2026_current,1,0.00,0.00,2.00,2.00,9.8,10.0,28.9,15.4,0.45,0.12,0.10,0.00,0.00,0.55,0.00,0.00,1.29,6.12,-0.67,0.00,-0.97,-0.91,-0.67,-0.00,0.00,2026-06-19
South Korea,wc2026_current,1,0.00,0.00,1.00,0.00,10.2,10.0,27.8,14.7,0.55,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,0.00,0.00,-1.42,-1.62,0.00,-0.00,0.00,2026-06-19
Spain,wc2026_current,1,0.00,0.00,1.00,0.00,10.7,10.0,35.0,17.7,0.68,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,0.87,0.00,1.38,1.47,0.87,-0.00,0.00,2026-06-19
Sweden,wc2026_current,1,0.00,0.00,0.00,0.00,10.2,10.0,31.1,16.2,0.55,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,0.00,0.00,-0.14,-0.10,0.00,-0.00,0.00,2026-06-19
Switzerland,wc2026_current,1,0.00,0.00,1.00,0.00,10.1,10.0,29.3,15.8,0.52,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,-0.20,0.00,-0.84,-0.46,-0.20,-0.00,0.00,2026-06-19
Tunisia,wc2026_current,1,0.00,0.00,1.00,0.00,9.7,10.0,28.4,15.2,0.42,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,-0.87,0.00,-1.19,-1.18,-0.87,-0.00,0.00,2026-06-19
Turkey,wc2026_current,1,0.00,0.00,0.00,0.00,10.5,10.0,30.2,16.4,0.62,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,0.47,0.00,-0.46,0.17,0.47,-0.00,0.00,2026-06-19
USA,wc2026_current,1,0.00,0.00,0.00,0.00,11.2,10.0,33.2,17.2,0.80,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,1.68,0.00,0.69,0.99,1.68,-0.00,0.00,2026-06-19
Uruguay,wc2026_current,1,0.00,0.00,0.00,0.00,11.8,10.0,31.0,16.5,0.95,0.12,0.10,0.00,0.00,0.55,0.00,0.00,-0.77,-0.20,2.68,0.00,-0.17,0.19,2.68,-0.00,0.00,2026-06-19
Uzbekistan,wc2026_current,1,0.00,0.00,1.00,0.00,10.1,10.0,28.5,14.8,0.52,0.12,0.10,0.00,0.00,0.55,0.00,0.00,0.26,-0.20,-0.20,0.00,-1.12,-1.60,-0.20,-0.00,0.00,2026-06-19
