match_id,field,processed_value,candidate_value,is_same
WC2026-C29,match_id,WC2026-C29,WC2026-C29,true
WC2026-C29,date,2026-06-19,2026-06-19,true
WC2026-C29,home,Brazil,Brazil,true
WC2026-C29,away,Haiti,Haiti,true
WC2026-C29,home_shape,4-2-3-1,4-2-3-1,true
WC2026-C29,away_shape,5-4-1,5-4-1,true
WC2026-C29,home_in_possession_shape,2-3-5,2-3-5,true
WC2026-C29,away_in_possession_shape,5-4-1,5-4-1,true
WC2026-C29,home_press_shape,4-2-3-1,4-2-3-1,true
WC2026-C29,away_press_shape,5-4-1,5-4-1,true
WC2026-C29,home_low_block_shape,4-4-2,4-4-2,true
WC2026-C29,away_low_block_shape,5-4-1,5-4-1,true
WC2026-C29,home_key_zones,左路Vinicius内收+Raphinha宽度,左路Vinicius内收+Raphinha宽度,true
WC2026-C29,away_key_zones,五后卫低位压缩中路,五后卫低位压缩中路,true
WC2026-C29,source,yahoo_preview+fotmob_r1,yahoo_preview+fotmob_r1,true
WC2026-C29,source_url,https://sports.yahoo.com/articles/brazil-vs-haiti-predictions-picks-184300594.html,https://sports.yahoo.com/articles/brazil-vs-haiti-predictions-picks-184300594.html,true
WC2026-C29,source_title,Brazil Haiti tactical preview,Brazil Haiti tactical preview,true
WC2026-C29,confidence,0.72,0.72,true
WC2026-C29,is_estimated,true,true,true
WC2026-C29,team_profile_degraded,false,false,true
WC2026-C29,__row_hash__,254a7f4df0296dd13599d6633aaa05d2127f8933dac6d88ceb3bdb35d57bfa6a,254a7f4df0296dd13599d6633aaa05d2127f8933dac6d88ceb3bdb35d57bfa6a,true
WC2026-C30,match_id,WC2026-C30,WC2026-C30,true
WC2026-C30,date,2026-06-19,2026-06-19,true
WC2026-C30,home,Scotland,Scotland,true
WC2026-C30,away,Morocco,Morocco,true
WC2026-C30,home_shape,4-4-2,4-4-2,true
WC2026-C30,away_shape,4-2-3-1,4-2-3-1,true
WC2026-C30,home_in_possession_shape,4-2-4,4-2-4,true
WC2026-C30,away_in_possession_shape,2-3-5,2-3-5,true
WC2026-C30,home_press_shape,4-4-2,4-4-2,true
WC2026-C30,away_press_shape,4-1-4-1,4-1-4-1,true
WC2026-C30,home_low_block_shape,5-4-1,5-4-1,true
WC2026-C30,away_low_block_shape,4-4-2,4-4-2,true
WC2026-C30,home_key_zones,定位球+McTominay插上,定位球+McTominay插上,true
WC2026-C30,away_key_zones,Hakimi宽度+Brahim肋部,Hakimi宽度+Brahim肋部,true
WC2026-C30,source,fotmob_r1+yahoo_preview,fotmob_r1+yahoo_preview,true
WC2026-C30,source_url,https://sports.yahoo.com/articles/scotland-vs-morocco-picks-predictions-140309697.html,https://sports.yahoo.com/articles/scotland-vs-morocco-picks-predictions-140309697.html,true
WC2026-C30,source_title,Scotland Morocco preview,Scotland Morocco preview,true
WC2026-C30,confidence,0.7,0.7,true
WC2026-C30,is_estimated,true,true,true
WC2026-C30,team_profile_degraded,false,false,true
WC2026-C30,__row_hash__,5c2d687535002dc27d77fa6a2839a11939944bfdb1e436f76a522205444a9b2f,5c2d687535002dc27d77fa6a2839a11939944bfdb1e436f76a522205444a9b2f,true
WC2026-D31,match_id,WC2026-D31,WC2026-D31,true
WC2026-D31,date,2026-06-19,2026-06-19,true
WC2026-D31,home,Turkey,Turkey,true
WC2026-D31,away,Paraguay,Paraguay,true
WC2026-D31,home_shape,4-2-3-1,4-2-3-1,true
WC2026-D31,away_shape,4-4-2,4-4-2,true
WC2026-D31,home_in_possession_shape,2-3-5,2-3-5,true
WC2026-D31,away_in_possession_shape,4-4-2,4-4-2,true
WC2026-D31,home_press_shape,4-3-3,4-3-3,true
WC2026-D31,away_press_shape,4-5-1,4-5-1,true
WC2026-D31,home_low_block_shape,4-4-2,4-4-2,true
WC2026-D31,away_low_block_shape,5-4-1,5-4-1,true
WC2026-D31,home_key_zones,Guler组织+Yildiz肋部,Guler组织+Yildiz肋部,true
WC2026-D31,away_key_zones,Enciso反击+低位五后卫,Enciso反击+低位五后卫,true
WC2026-D31,source,si_preview+fotmob_r1,si_preview+fotmob_r1,true
WC2026-D31,source_url,https://www.si.com/soccer/turkiye-vs-paraguay-world-cup-preview-predictions-lineups-6-19-26,https://www.si.com/soccer/turkiye-vs-paraguay-world-cup-preview-predictions-lineups-6-19-26,true
WC2026-D31,source_title,Turkey Paraguay preview,Turkey Paraguay preview,true
WC2026-D31,confidence,0.72,0.72,true
WC2026-D31,is_estimated,true,true,true
WC2026-D31,team_profile_degraded,false,false,true
WC2026-D31,__row_hash__,13387073deadff86f2c3847027276a69d3b761bbccfc2b6da7530b909eff97dc,13387073deadff86f2c3847027276a69d3b761bbccfc2b6da7530b909eff97dc,true
WC2026-D32,match_id,WC2026-D32,WC2026-D32,true
WC2026-D32,date,2026-06-19,2026-06-19,true
WC2026-D32,home,USA,USA,true
WC2026-D32,away,Australia,Australia,true
WC2026-D32,home_shape,4-1-2-3,4-1-2-3,true
WC2026-D32,away_shape,4-2-3-1,4-2-3-1,true
WC2026-D32,home_in_possession_shape,3-2-5,3-2-5,true
WC2026-D32,away_in_possession_shape,4-4-2,4-4-2,true
WC2026-D32,home_press_shape,4-1-4-1,4-1-4-1,true
WC2026-D32,away_press_shape,4-5-1,4-5-1,true
WC2026-D32,home_low_block_shape,4-4-2,4-4-2,true
WC2026-D32,away_low_block_shape,5-4-1,5-4-1,true
WC2026-D32,home_key_zones,Pulisic左路+Balogun支点,Pulisic左路+Balogun支点,true
WC2026-D32,away_key_zones,Irankunda速度反击+紧凑低位,Irankunda速度反击+紧凑低位,true
WC2026-D32,source,socceroos+fotmob_r1,socceroos+fotmob_r1,true
WC2026-D32,source_url,https://socceroos.com.au/match/usa-v-australia-fifa-world-cuptm-2026-20-06-2026/22278774,https://socceroos.com.au/match/usa-v-australia-fifa-world-cuptm-2026-20-06-2026/22278774,true
WC2026-D32,source_title,USA Australia preview,USA Australia preview,true
WC2026-D32,confidence,0.75,0.75,true
WC2026-D32,is_estimated,true,true,true
WC2026-D32,team_profile_degraded,false,false,true
WC2026-D32,__row_hash__,a8a41ecab89652128e6b3f7a46e2f2aca1b01a8ed91342869c84e23cf460a5e5,a8a41ecab89652128e6b3f7a46e2f2aca1b01a8ed91342869c84e23cf460a5e5,true
